trackcounts - 12mo
0,2426
1,13793
2,95997
3,86903
4,86785
5,115575
6,73845
7,50638
8,28484
9,35134
10,24458
11,24445
12,36954
13,61528
14,94106
15,24569
16,19915
17,12966
18,17920
19,83092
20,40113
21,12036
22,29813
23,12341
24,170244
25,32872
26,113510
27,22100
28,59594
29,67899
30,18268
31,21888
32,56771
33,70135
34,6356
35,9430
36,9361
37,11610
38,5310
39,2393
40,4421
41,7771
42,6210
43,8205
44,72537
45,25309
46,30947
47,10174
48,21045
49,3460
50,1527
51,3209
52,78473
53,4911
54,18867
55,1900
56,8753
57,1949
58,6895
59,4017
60,4577
61,1485
62,3752
63,3008
64,1559
65,1233
66,1489
67,598
68,1295
69,1633
70,1535
71,1562
72,1406
73,901
74,760
75,1875
76,737
77,1262
78,793
79,6166
80,527
81,20633
82,1810
83,32401
84,1426
85,1245
86,794
87,5006
88,423
89,2233
90,195
91,758
92,904
93,866
94,432
95,2019
96,1102
97,575
98,445
99,376
100,256
101,718
102,298
103,279
104,232
105,300
106,449
107,599
108,203
109,298
110,137
111,247
112,178
113,179
114,439
115,78
116,938
117,186
118,356
119,97
120,147
121,1608
122,407
123,33800
124,327
125,59
126,21791
127,238
128,286
129,32
130,341
131,45
132,45
133,116
134,331
135,26
136,289
137,420
138,167
139,160
140,438
141,227
142,329
143,94
144,105
145,210
146,289
147,176
148,151
149,56
150,89
151,86
152,47
153,114
154,269
155,217
156,151
157,156
158,99
159,42
160,345
161,28
162,150
163,374
164,5
165,58
166,229
167,153
168,84
169,252
170,124
171,70
172,75
173,68
174,85
175,185
176,175
177,65
178,5
179,24
180,48
181,135
182,668
183,107
184,407
185,168
186,83
187,201
188,23
189,79
190,87
191,65
192,1112
193,493
194,62
195,221
196,87
197,176
198,115
199,30
200,268
201,479
202,66
203,28
204,1758
205,26
206,28
207,72
208,130
209,86
210,113
211,25
212,44
213,398
214,21
215,217
216,39
217,62
218,52
219,285
220,58
221,145
222,91
223,1282
224,400
225,94
226,164
227,261
228,7747
229,441
230,1136
231,14278
232,218
233,94
234,94
235,18615
236,29
237,78
238,300
