plugis separated into bins (last 12 months, > 100 hits)
host,hits,RegexSequenceSearch,PhytozomeStyleAddons,fullscreen-jbrowse,scrollpos-jbrowse,HideTrackLabels,SeqLighter,WebApollo,VCFwsViewer,NeatCanvasFeatures,NeatHTMLFeatures,CategoryUrl,GCContent,HierarchicalCheckboxPlugin,LabPlugin,MethylationPlugin,NucleotideDensityPlugin,ScreenShotPlugin,SeqViewsPlugin,SmallRNAPlugin,StrandedPlotPlugin,TrackScorePlugin,YScaleMenuPlugin,SchmitzBrowserPlugin,CACAO,CoGe,MultiVariantViewer,,FeatureSequence,MotifSearch,SwitchTrackSelector,SashimiPlot,PydginElastic,DebugEvents,Blat,Fullscreen,QuickMarks,Seqdisp,seqdisp-jbrowse,GWASviewer,XTrackConfigEditor,BlatPlugin,GA4GHViewer,GWASViewer,DownloadFasta,MultiBigWig,dynamix,BlatSearch,QuickMark,SeqDisp,FastLoader,primermod,CDS,ProportionalMultiBw,GenesApi,SGIOAuth2,JBClient,JBlast,bookmarks,fullscreen,PlantMethylomePlugin,NCBIBlast,MAFViewer,FrameViewer,RemoteBlast,BioXM_Plugin,MyVariantViewer,InterfaceTweaks,BioNanoGenomics,TADkit,ComboTrackSelector,Bed12,BroadPeak,NarrowPeak,BlastFeature,GEPFeature,GEPLinks,GetDNA,ScoreFilter,StrandFilter,QualityGlyphs,sgioauth2,NewPluginOne,SocialFeatures,MyPlugin,BlastView,PostGraphQL,RestrictionSearch,LinkedReadsViewer,HiCViewer,GenePredFeature,MultiBigwig,CramReader,qualityglyphs,MyPluginTest,FullscreenPlugin,WebsocketCommandlinePlugin,PhytozomeHeader,G-OnRamp_plugin,GoGo,ProjectionPlugin,bookmarks-jbrowse,gccontent,AmbryCNVFeature,DarkFlatTheme,MinimalistFlatTheme,Bookmarks,MinimalistTheme,ThemeComponent-Colors-BlackWhite-BlueGreen,CyverseRemoteTracks,ThemeComponent-DisableGrid,ThemeComponent-Flat,BamsApi,CustomTracksApi,SeqExtractor,proportionalmultibw,FungiMethylomePlugin,AmbryProbeViewer,FullScreen,NAL_CSS,MyPlug,blastview,multibigwig,SGIRefSeqLabels,myvariantviewer,ThemeComponent-RearrangedRulers,AmbryStyle,FilterPlugin,MyVariantInfo,ThemeComponentFlat,ClearCache,ResourcesMenu,PrimerDesigner,gwasviewer,SnapRegion,BigWigTracksApi,SitewideNotice,ThemeComponent-RightAlignedControls,SitewideNotices,zomeExtras,AGPParser,PairedReadViewer,ExtractBed,WikiData,sashimiplot,TestPlugin,MakePCRPrimers,narrowpeak,FullscreenJBrowse,Test1,ManyTracks,SequenceServerExternalLink,RESTPBK,ElasticSearch,DarkTheme,SwitchTrackType,AnnotationEditor,Dynamix,G-OnRamp_plugins,EnhancedCombinationPlugin,Chat,GCCoverage,REAPRViewer,Fullscreen-JBrowse,MAFviewer,ColorByCDS,Varshant_Mod,NoRefSeqs,Gaps,WiggleSVGPlotPlugin,methylPlugin,SNPViewer,CondensedReads,MotifDensityPlugin,GOnRamp,VariantTrack,AnnotatedVariants,LSAA,jbrowse-minimalist-theme,ga4ghviewer,TC-C-BWBWG,asdf,1,2,3,4,5,6,GonrampPlugin,NalCss,mafviewer,MenuCustomizer,FaceBase,agp,SiteNotice,7,A2OHeader,Sashimi,ServerSearchSeq,ServerSearch,ENCODEPlugin,filterplugin,BroadcastEvents,customize_refSeq,DebugFlip,Jumpy,BookmarksPlugin,FullScreenPlugin,jbrowse-dark-theme,RenameTracks,Facebase,PubPlugin,sashimi,Blastview,wormbase-glyphs,annotation,Apollo,colorbycds,DXplugin,regex,book,book-j,blastlinks,pluginBlast,pluginblast,
apollo.tgac.ac.uk,3233, 3233, , , , , , 3231, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54.166.140.4,277, 277, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
dpuk.digitalhealthlabs.com,45, 45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
127.0.0.1:8000,3357, 3357, , , , 28, , , , 28, 28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cancer.sanger.ac.uk,424701, 424663, , , , , , , , , , , , , , , , , , , , , , , , , , 38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
www.yeastgenome.org,21632, 21632, , , , 248, , , , 248, 248, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
epigenome.genetics.uga.edu,7544, 7544, , , , 7319, , , , 12, 12, 4500, 2385, 5698, 4500, 7543, 3422, 5698, 5698, 7302, 7206, 7543, 5698, 1198, , , , , , , , , , , , , , , , , , , , , , 2906, , , , , , , , , , , , , , , 1772, , , , , , , , , , 21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2906, , , , , , , , , , 2721, , , , 2439, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cpt.tamu.edu,7094, 7094, , , , 228, , 6832, , , , , 6832, , , , , , , , , , , , 6832, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4, , , , , , , , , , , , , , , 6393, , , , , , , , , , , , , , , , , , , , , , 4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
adenine.bradley.edu,14941, 14941, , , , , , 14812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
bw.scottcain.net,452, 452, , , , 92, , , , 33, 33, , , , , , , 185, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
